City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,paamiut,61.994,-49.6678,0.65,66,100,3.07,GL,1682881746
139,tura,25.5198,90.2201,19.94,85,100,2.06,IN,1682881746
140,bredasdorp,-34.5322,20.0403,13.65,89,0,0.85,ZA,1682881746
141,poum,-20.2333,164.0167,25.39,77,100,6.85,NC,1682881746
142,papetoai,-17.4961,-149.8729,28.77,72,0,4.68,PF,1682881747
143,shumyachi,53.8583,32.4242,6.09,70,99,1.24,RU,1682881747
144,teya,60.3778,92.6267,-2.95,97,96,1.95,RU,1682881747
145,lida,53.8833,25.2997,5.35,60,3,4.71,BY,1682881747
146,pontianak,-0.0333,109.3333,24.99,100,100,1.03,ID,1682881748
147,saint george,37.1041,-113.5841,30.24,15,0,1.54,US,1682881586
148,ponta do sol,32.6667,-17.1,24.28,75,99,1.03,PT,1682881748
149,shimoda,34.6667,138.95,16.17,76,100,0.88,JP,1682881748
150,keetmanshoop,-26.5833,18.1333,24.64,19,38,2.54,NA,1682881748
151,vaini,-21.2,-175.2,25.09,88,20,4.63,TO,1682881749
152,kalmunai,7.4167,81.8167,26.77,83,100,2.82,LK,1682881749
153,belaya gora,68.5333,146.4167,-3.89,89,100,2.01,RU,1682881749
154,faya,18.3851,42.4509,14.29,62,92,1.52,SA,1682881750
155,itarema,-2.9248,-39.9167,27.87,81,71,4.58,BR,1682881750
156,faanui,-16.4833,-151.75,28.27,77,11,7.24,PF,1682881751
157,kiama,-34.6833,150.8667,12.36,85,97,1.34,AU,1682881751
158,denpasar,-8.65,115.2167,26.81,88,20,2.57,ID,1682881622
159,carauari,-4.8828,-66.8958,30.66,67,55,1.54,BR,1682881517
160,torbay,47.6666,-52.7314,7.38,83,100,10.8,CA,1682881522
161,kahului,20.8947,-156.47,26.65,75,40,8.23,US,1682881752
162,arlit,18.7369,7.3853,34.58,10,66,5.87,NE,1682881752
163,praia,14.9215,-23.5087,26.3,65,20,7.72,CV,1682881753
164,sembakung,3.8167,117.25,23.44,99,100,0.55,ID,1682881753
165,bouar,5.934,15.596,18.81,95,98,1.49,CF,1682881753
166,doctor arroyo,23.6667,-100.1833,24.4,23,6,3.69,MX,1682881753
167,lincoln,40.8,-96.667,15.0,45,75,13.38,US,1682881725
168,tilichiki,60.4667,166.1,-14.46,93,48,3.14,RU,1682881754
169,price,39.5994,-110.8107,25.06,14,0,5.14,US,1682881754
170,swidwin,53.7746,15.7767,5.75,74,16,1.7,PL,1682881754
171,beringovskiy,63.05,179.3167,-13.29,89,48,4.84,RU,1682881754
172,asosa,10.0667,34.5333,18.3,74,98,0.95,ET,1682881755
173,muhos,64.808,25.9931,2.16,99,100,2.01,FI,1682881755
174,rio gallegos,-51.6226,-69.2181,7.03,45,40,8.75,AR,1682881525
175,ordzhonikidze,52.4411,61.7408,13.68,38,100,4.49,KZ,1682881755
176,richards bay,-28.783,32.0377,19.38,89,100,0.66,ZA,1682881755
177,mattru,7.6244,-11.8332,27.87,74,0,3.34,SL,1682881755
178,maltahohe,-24.8333,16.9833,22.9,13,18,4.43,NA,1682881756
